id,title,industry,category,challenge,solution,result,duration,company,detailed_description,technologies,outcomes,tags,image_url,date,is_active,created_at,updated_at
04ed3f0d-7747-480b-9fc2-cf017adba6dc,Mixed Reality in der Fabrik,Schweißtechnik,Smart Factory,Entwicklung autonomer Schweißzellen mit digitaler Programmierung,Augmented Reality-Steuerung mit HoloLens 2 für WAAM-Verfahren,Praxisnahe Demonstration von Industrie 4.0 zum Anfassen,18 Monate,Batix & Kompetenzzentrum Ilmenau,Gemeinsam mit dem Mittelstand 4.0-Kompetenzzentrum Ilmenau wurde eine Augmented Reality-Steuerung für eine Schweißanlage entwickelt. Der sogenannte 'Welding Cube' kommt bei der additiven Fertigung von Bauteilen aus Metall mittels Wire Arc Additive Manufacturing (WAAM) zum Einsatz. Die Software in Kombination mit der HoloLens 2 von Microsoft erzeugt direkt an der Anlage eine digitale Informationsebene innerhalb der realen Welt.,"[""Microsoft HoloLens 2"",""Wire Arc Additive Manufacturing"",""Augmented Reality"",""3D-Metallschweißen""]","[""Digitalisierung zum Anfassen"",""Praxisnahe Demonstration"",""Zukunftsweisende Schweißtechnologie"",""Industrie 4.0 Integration""]","[""Augmented Reality"",""3D-Druck"",""Innovation""]",,2020-03-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
16aa7add-6a90-49f4-9478-049f58f0a373,Big Data Analyse & Optimierung,Diverses,Smart Data,Nutzung ungenutzter Datenbestände für Prozessoptimierung,Software zur sicheren Verarbeitung und Analyse großer Datenmengen,Aufdeckung ungenutzter Potenziale und Investitionssicherheit,Ongoing,Diverse Kunden,Unternehmen sammeln (un)bewusst unzählige Daten und Informationen und 'sitzen' buchstäblich auf einem Schatz. Paradoxerweise nutzen die Wenigsten diesen für die Optimierung von internen Prozessen. Software von Batix hilft Unternehmen große Datenmengen sicher zu verarbeiten und zu analysieren. Das schafft Investitionssicherheit und hebt ungeahnte Potenziale.,"[""Big Data Analytics"",""Datenvisualisierung"",""Predictive Analytics"",""Business Intelligence""]","[""Aufdeckung ungenutzter Potenziale"",""Investitionssicherheit"",""Prozessoptimierung"",""Datenbasierte Entscheidungen""]","[""Big Data"",""Analytics"",""Optimierung""]",,2020-01-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
2a7f702a-87b0-4b4d-922a-cfe00aebb6be,Telematik für Sonderbaumaschinen,Baumaschinen,Smart Mobility,Intelligente Vernetzung von Informationen für bessere Produktivität,All-in-One-Lösung mit 360-Grad-Flottenverwaltung und Echtzeit-Überwachung,Signifikante Senkung der Verwaltungsaufwände und gesteigerte Maschinenproduktivität,12 Monate,Baumaschinenverleih,"Moderne Telematik ist mehr als Fahrzeugortung – sie ist die intelligente Vernetzung von Informationen. Mit der flexiblen All-in-One-Lösung verbindet Batix die GPS-Verfolgung mit einer 360-Grad-Flottenverwaltung. Dazu gehören die Echtzeit-Ansicht des täglichen Maschinenbetriebs, die Erfassung relevanter Betriebsdaten und die sichere Übertragung der Daten.","[""GPS-Verfolgung"",""360-Grad-Flottenverwaltung"",""Echtzeit-Datenerfassung"",""Sichere Datenübertragung""]","[""Reduzierte Verwaltungsaufwände"",""Gesteigerte Produktivität"",""Verbesserte Maschinenauslastung"",""Transparente Einsatzhistorie""]","[""Telematik"",""Flottenverwaltung"",""IoT""]",,2020-08-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
2cb9a528-df03-4dc8-9c1e-4273adef9e56,Swiss Transit Lab - Open Doors,Öffentlicher Verkehr,Smart Mobility,Barrierefreier Zugang zur Mobilität für Menschen mit Beeinträchtigungen,Intelligente Vernetzung von Bussen mit Lift-Systemen über Haltewunschtaster,Nahtloser Umstieg ohne Zeitverlust für Rollstuhlfahrer,6 Monate,Verkehrsbetriebe Schaffhausen,"Mit dem Projekt 'Open Doors' verknüpft das Swiss Transit Lab Teile der Mobilitätskette intelligent miteinander. Die Busse der Verkehrsbetriebe Schaffhausen werden dabei mit dem Lift im Regionalbuszentrum vernetzt. Bei Betätigung des Rollstuhl-Haltewunschtasters wird das Signal an eine Software von Batix übermittelt, die den Lift zeitverzögert auf die obere Ebene bestellt.","[""IoT-Vernetzung"",""Haltewunschtaster-System"",""Lift-Steuerung"",""Zeitgesteuerte Automation""]","[""Nahtloser Umstieg ohne Zeitverlust"",""Verbesserte Barrierefreiheit"",""Intelligente Mobilitätskette"",""Erhöhte Selbständigkeit""]","[""Barrierefreiheit"",""IoT"",""Vernetzung""]",,2021-11-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
649bf656-cb03-4563-a523-5aecf185e00e,Digitale Arbeitsplattform NOAH,Drehtechnik & Fertigung,Smart Factory,Vernetzung aller CNC-Maschinen und Mitarbeiter-Arbeitsplätze für optimale Maschinenauslastung,Entwicklung einer internen Arbeitsplattform mit KI-basierter Auftragssteuerung,"15% Senkung der Rüstkosten, 80% weniger Archivierungskosten, 90% weniger Suchkosten",12 Monate,Drehtechnik Jakusch GmbH,"Industrie 4.0 bestimmt maßgeblich die Zukunftsfähigkeit der Drehtechnik Jakusch GmbH. Seit 2016 setzt das Unternehmen auf digitale Technologien und hat damit ungeahnte Interaktions- und Gestaltungsräume gewonnen. Alle CNC-Maschinen und Mitarbeiter-Arbeitsplätze sind heute vernetzt und an die Datenerfassung angeschlossen. Alle Mitarbeiter nutzen die interne Arbeitsplatzform 'NOAH'. Der Einsatz von KI sorgt für eine optimale Maschinenauslastung und eine Auftragssteuerung. Die Produktion wird intelligent geplant, überwacht und dokumentiert – auch mit dem Mobiltelefon.","[""KI-basierte Auftragssteuerung"",""CNC-Maschinenvernetzung"",""Mobile Anwendungen"",""Datenerfassung""]","[""15% Senkung der Rüstkosten"",""80% Reduktion der Archivierungskosten"",""90% weniger Suchkosten"",""Optimale Maschinenauslastung""]","[""Industrie 4.0"",""KI"",""Prozessoptimierung""]",,2018-01-01,true,2025-08-21 11:05:25.472343+00,2025-08-31 21:53:00.508257+00
6c06b1c0-7119-4692-9b13-659f9b0ea3cf,Digitalstrategie MMS 4.0,Mittelstand,Smart Factory,Strategische Neuausrichtung traditioneller Geschäftsmodelle bis 2025,Experten-Tandem-Modell mit prozessgesteuertem Ansatz,Erfolgreiche digitale Transformation mit strukturierter Roadmap,10 Monate,MMS GmbH,"MMS verfügt über ein ausgeprägtes Prozessdenken ('gelebtes Prozesshaus'). Die Digitalisierung soll alle Kern- und Unterstützungsprozesse des Unternehmens erfassen und zudem alle 'Insellösungen' ersetzen bzw. miteinander verknüpfen. Über 80% aller Digitalprojekte scheitern aufgrund schlechter Planung, unnötigen Druck oder mangelnde Professionalität. Batix konnte hier sein Tandem-Modell einbringen: Ein Organisationsentwickler und ein Softwareentwickler bilden zusammen das externe 'Expertenteam'.","[""Experten-Tandem-Modell"",""Prozessmanagement"",""Strategieberatung"",""Change Management""]","[""Strukturierte Roadmap bis 2025"",""Fokussierte Umsetzung"",""Risikominimierung"",""Nachhaltige Transformation""]","[""Digitalstrategie"",""Transformation"",""Beratung""]",,2019-09-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
7a6ab1e9-601f-42bf-8574-0d9a1daae114,ÖPNV Integrationslösung,Öffentlicher Verkehr,Smart Mobility,Abbildung aller Geschäftsprozesse in Verkehrsunternehmen,Webbasierte Anwendungen mit bidirektionalen Schnittstellen,Echtzeit-Datenverfügung für alle Unternehmensbereiche,15 Monate,Regionale Verkehrsbetriebe,"Die Integrationslösung für Verkehrsunternehmen verfügt über eine Vielzahl komplett webbasierter Anwendungen, die speziell auf die Bedürfnisse und Anforderungen von regionalen und überregionalen, privaten sowie kommunalen Verkehrsunternehmen zugeschnitten sind. Die Lösung enthält individuelle bidirektionale Schnittstellen und lässt sich problemlos in eine vorhandene IT-Landschaft integrieren.","[""Webbasierte Anwendungen"",""Bidirektionale Schnittstellen"",""IBIS-Bus Integration"",""Telematik-Systeme""]","[""Echtzeit-Datenverfügung"",""Ortsunabhängiger Zugriff"",""Nahtlose IT-Integration"",""Umfassende Prozessabbildung""]","[""ÖPNV"",""Integration"",""Echtzeit""]",,2019-05-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
ac302306-5740-4013-b05c-62d27add1a07,Qualitätsdatenanalyse QRS,Medizintechnik,Smart Data,Lückenlose Dokumentation und Datenintegration in der Röntgenröhrenproduktion,Digitales Qualitätsmanagementsystem mit direkter Datenerfassung,Zeitaufwand für Qualitätsprüfung von 10 Min auf 2 Sek reduziert,8 Monate,Petrick GmbH,"Interne Audits, Prüfungen, Sicherheitsrundgänge, Betriebsbegehungen und weitere Vor-Ort-Kontrollen sind ein wichtiger Bestandteil des betrieblichen Qualitätsmanagements. Diese Prüfungen & Checks können besonders effizient mit einem digitalen und transparenten Datenmanagement durchgeführt werden. Das System erzeugt für jede Röntgenröhre ein virtuelles Abbild – einen digitalen Zwilling.","[""Digitales Qualitätsmanagementsystem"",""Direkte Datenerfassung"",""Digitaler Zwilling"",""Automatisierte Prüfungen""]","[""Zeitreduktion von 10 Min auf 2 Sek"",""Lückenlose Dokumentation"",""Erhöhte Effizienz"",""Verbesserte Transparenz""]","[""Qualitätsmanagement"",""Datenintegration"",""Effizienz""]",,2018-10-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
c1d66926-3c02-4163-8050-fcfae43f8e1a,Qualitätssystem Röntgenstrahler QRS,Medizintechnik,Smart Factory,Lückenlose digitale Prozessdokumentation bei reduziertem Personalaufwand,Digitaler Zwilling für jede Röntgenröhre mit virtueller Planung,"95% Reduktion der Fehleranalyseaufwände, von 10 Min auf 2 Sek pro Prüfung",12 Monate,Petrick GmbH,Die Petrick GmbH Bad Blankenburg nutzt den systemischen Ansatz von BX:SMART FACTORY. Neben der Kostenreduktion durch Prozessoptimierung rückte schnell das firmeninterne Produktcontrolling in den Fokus. Die individuell entwickelte digitale Lösung wurde gemeinsam entwickelt und erfolgreich eingeführt. Das QRS erzeugt für jede Röntgenröhre ein virtuelles Abbild (Digitaler Zwilling).,"[""Digitaler Zwilling"",""Sensordatenerfassung"",""Simulationsmodelle"",""Automatisierte Qualitätsprüfung""]","[""95% Reduktion der Fehleranalyseaufwände"",""Zeitreduktion von 10 Min auf 2 Sek pro Prüfung"",""Lückenlose Prozessdokumentation"",""Erhöhte Transparenz und Effizienz""]","[""Digitaler Zwilling"",""Qualitätssicherung"",""Automatisierung""]",,2018-06-01,true,2025-08-21 11:05:25.472343+00,2025-10-22 22:30:10.218786+00
ed924444-1b62-4e92-aa17-30c75a36115c,Digitalisierung Kunststoffbranche,Kunststoffverarbeitung,Smart Factory,Optimierte Auftragsabwicklung durch smarte Software-Lösungen,Eingangsrechnungstool und Werkzeugverwaltung mit hoher Nutzerakzeptanz,Zentrale Plattform für alle Rechnungen und präzise Werkzeugverwaltung,8 Monate,KOMOS GmbH,"Als Auftragsfertiger von Stanz- und Drehteilen, Kunststoff-Spritzteilen und elektromechanischen Baugruppen bündelt KOMOS zahlreiche verschiedene Technologien unter einem Dach. Der Einstieg in die gemeinsame Zusammenarbeit zwischen KOMOS und Batix gelang durch die Einführung des Eingangsrechnungstools. Das Modul bündelt alle eingehenden Rechnungen zentral auf einer Plattform.","[""Eingangsrechnungstool"",""Werkzeugverwaltungssystem"",""Zentrale Plattform"",""Prozessautomatisierung""]","[""Hohe Nutzerakzeptanz"",""Zentrale Rechnungsbearbeitung"",""Präzise Werkzeugverwaltung"",""Nahtlose Integration""]","[""Auftragsabwicklung"",""Werkzeugverwaltung"",""Automation""]",,2021-02-01,true,2025-08-21 11:05:25.472343+00,2025-08-21 11:05:25.472343+00
